"platform","n_tqs","total_jobs"
"x86_64_v4-any","319","746080"
"x86_64_v3-any","319","746080"
"broadwell-any","319","746080"
"skylake_avx512-any","319","746080"
"haswell-any","319","746080"
"skylake-any","319","746080"
"cannonlake-any","319","746080"
"westmere-any","273","690953"
"nehalem-any","273","690953"
"sandybridge-any","273","690953"
"ivybridge-any","273","690953"
"x86_64_v2-any","273","690953"
"cannonlake-centos7","257","661039"
"skylake-centos7","257","661039"
"westmere-centos7","257","661039"
"skylake_avx512-centos7","257","661039"
"haswell-centos7","257","661039"
"broadwell-centos7","257","661039"
"sandybridge-centos7","257","661039"
"x86_64_v2-centos7","257","661039"
"ivybridge-centos7","257","661039"
"x86_64_v3-centos7","257","661039"
"nehalem-centos7","257","661039"
"x86_64_v4-centos7","257","661039"
"armv8.1_a-el9","178","125777"
"armv8.1_a-any","178","125777"
"armv8.2_a-any","178","125777"
"armv8.2_a-el9","178","125777"
"armv8.3_a-any","178","125777"
"armv8.3_a-el9","178","125777"
"x86_64_v3-el9","55","56150"
"haswell-el9","55","56150"
"cannonlake-el9","55","56150"
"skylake_avx512-el9","55","56150"
"x86_64_v4-el9","55","56150"
"broadwell-el9","55","56150"
"skylake-el9","55","56150"
"x86_64_v4-slc6","7","28891"
"skylake-slc6","7","28891"
"westmere-slc6","7","28891"
"x86_64_v2-slc6","7","28891"
"x86_64_v3-slc6","7","28891"
"broadwell-slc6","7","28891"
"cannonlake-slc6","7","28891"
"core2-any","7","28891"
"skylake_avx512-slc6","7","28891"
"core2-slc6","7","28891"
"sandybridge-slc6","7","28891"
"x86_64-any","7","28891"
"haswell-slc6","7","28891"
"x86_64-slc6","7","28891"
"nehalem-slc6","7","28891"
"ivybridge-slc6","7","28891"
"nehalem-el9","9","1023"
"x86_64_v2-el9","9","1023"
"westmere-el9","9","1023"
"sandybridge-el9","9","1023"
"ivybridge-el9","9","1023"
"x86_64-centos7","20","0"
"x86_64-centos7.avx","20","0"
"x86_64-centos7.avx2","20","0"
"x86_64-centos7.avx2+fma","20","0"
"x86_64-centos7.sse4_2","20","0"
"x86_64-slc6.avx","20","0"
"x86_64-slc6.avx2","20","0"
"x86_64-slc6.avx2+fma","20","0"
"x86_64-slc6.sse4_2","20","0"
