"site","n_tqs","total_jobs"
"LCG.CERN.cern","368","800227"
"LCG.Beijing.cn","304","748642"
"LCG.RAL.uk","301","743135"
"LCG.GRIDKA.de","307","739654"
"LCG.CNAF.it","299","736038"
"LCG.NCBJ.pl","297","732979"
"LCG.CSCS.ch","284","726210"
"LCG.NIKHEF.nl","307","722824"
"LCG.IN2P3.fr","297","719944"
"LCG.PIC.es","292","715230"
"LCG.SARA.nl","297","712622"
"LCG.GRIF.fr","279","710282"
"LCG.RAL-HEP.uk","279","709600"
"LCG.UKI-LT2-IC-HEP.uk","278","709575"
"LCG.UKI-LT2-QMUL.uk","281","709146"
"LCG.CPPM.fr","278","708532"
"LCG.DESYHH.de","278","708377"
"LCG.LZU.cn","280","708376"
"LCG.NIPNE-07.ro","277","708354"
"LCG.Liverpool.uk","276","708287"
"LCG.Manchester.uk","273","708237"
"DIRAC.HLTFarm.lhcb","270","708184"
"LCG.Milano.it","269","708182"
"LCG.LPC.fr","269","708182"
"LCG.Oxford.uk","269","708182"
"LCG.MIT.us","269","708182"
"LCG.NCBJ-CIS.pl","269","708182"
"LCG.WEIZMANN.il","269","708182"
"LCG.PSNC.pl","269","708182"
"LCG.Sheffield.uk","269","708182"
"LCG.TAU.il","269","708182"
"LCG.Trieste.it","269","708182"
"LCG.UKI-LT2-Brunel.uk","269","708182"
"LCG.UKI-LT2-RHUL.uk","269","708182"
"CLOUD.CERN.cern","269","708182"
"LCG.CBPF.br","269","708182"
"DIRAC.Barcelona.es","269","708182"
"DIRAC.CINECAM100.it","269","708182"
"DIRAC.Exploratory.cn","269","708182"
"DIRAC.Kabre.cr","269","708182"
"DIRAC.MareNostrum.es","269","708182"
"DIRAC.Monash.au","269","708182"
"DIRAC.UZH.ch","269","708182"
"DIRAC.Vega.si","269","708182"
"LCG.BEER.cern","269","708182"
"LCG.Birmingham.uk","269","708182"
"LCG.Bristol.uk","269","708182"
"LCG.Legnaro.it","269","708182"
"LCG.CESNET.cz","269","708182"
"LCG.CHTC.us","269","708182"
"LCG.Durham.uk","269","708182"
"LCG.Frascati.it","269","708182"
"LCG.Glasgow.uk","269","708182"
"LCG.Haifa.il","269","708182"
"LCG.JINR.ru","269","708182"
"LCG.Krakow.pl","269","708182"
"LCG.Lancaster.uk","269","708182"
"LCG.LAPP.fr","269","708182"
"LCG.ECDF.uk","268","707311"
"DIRAC.Snellius.nl","255","689854"
